,Features
0,AGR2
1,GFAP
2,TCF21
3,LGALS4
4,MB
5,FOXF1
6,CDHR5
7,CTSE
8,MTRNR2L9
9,MTRNR2L2
10,MTRNR2L8
11,PLEKHJ1
12,PRDX5
13,TMEM186
14,CDHR1
15,RUBCNL
16,NOX1
17,CRB2
18,AIFM3
19,CDR2L
20,POU3F3
21,EMX2
22,SERPINB5
23,SLC6A14
24,CEACAM6
25,GPX2
26,ERBB3
27,C5
28,AMBP
29,HPX
30,VTN
31,ASGR2
32,ITIH3
33,SLC34A2
34,NAPSA
35,SFTPB
36,SFTPA2
37,CCNJL
38,LPCAT1
39,SOX17
40,NPR1
41,BCAM
42,SCGB1D2
43,NACA2
44,PABPC3
45,MTRNR2L3
46,NKX3-1
47,WDR53
48,NECTIN4
49,GRHL2
50,TACSTD2
51,RHOV
52,SDC1
53,ALDH3B2
54,POU5F1
55,CIRBP
56,PAX8
57,MYL6B
58,FAM171A2
59,CCDC157
60,TMEM9
