,Features
0,GRHL2
1,RDH5
2,FEZ1
3,LGALS4
4,PAX8
5,HKDC1
6,POU3F3
7,SMIM24
8,MB
9,HAND2
10,EPB41L1
11,CHST13
12,ASGR2
13,ASGR1
14,PROC
15,VTN
16,ITIH3
17,SLC22A31
18,NAPSA
19,SFTPB
20,FOXA2
21,CTSE
22,TMEM30B
23,NEBL
24,C6orf132
25,SPINT2
26,PRR15L
27,GPAM
28,SOX17
29,EMX2
30,NPR1
31,MEIS1
32,SST
33,MECOM
34,KLK4
35,ACPP
36,SLC45A3
37,SPOCK1
38,RDH11
39,DDX3Y
40,FAM83F
41,RAB25
42,RBBP8NL
43,CHMP4C
44,PROM2
45,PLIN1
46,EFHD1
47,ENPP1
48,PRLR
49,AR
50,KRT6A
51,GATA3
52,SOX2
53,TMPRSS4
54,SOX21
55,ST6GALNAC1
56,TP73
57,TCF21
58,FOXF1
59,CDHR5
60,POU5F1
61,PLTP
62,VWCE
63,PNMA8B
64,GYPC
65,GMFG
66,ITM2C
67,FOXE1
68,AZGP1
69,GJC3
70,IRX2
