,Features
0,C1orf210
1,ESRP2
2,SLC22A31
3,NAPSA
4,SFTPB
5,FOXA2
6,HKDC1
7,CTSE
8,KRT7
9,HOXA9
10,HOXA11
11,HOXA10
12,CXCL17
13,CEACAM6
14,SDR16C5
15,SFTPA2
16,SLC6A14
17,POU3F3
18,GPRC5A
19,C8G
20,VTN
21,ASGR2
22,HPX
23,SPINT2
24,SOX17
25,EMX2
26,MEIS1
27,PRIMA1
28,APOA1
29,SCGB1D2
30,HAND2
31,OLFM4
32,CHGA
33,NKX3-1
34,RAB25
35,KRT5
36,C16orf89
37,LMO3
38,DSC3
39,FAT2
40,KRT6B
41,JAG1
42,S1PR5
43,SLC34A2
44,CCNJL
45,LPCAT1
46,LMO7
47,ZDHHC9
48,SMPDL3B
49,CLDN4
50,TMC5
51,CEACAM1
52,VDR
53,PAX8
54,PON3
55,STEAP4
