,Features
0,TNFAIP8
1,SLFN11
2,RAP2B
3,CAVIN1
4,BACE2
5,ANXA11
6,ABI3BP
7,CHGB
8,CHGA
9,RUNDC3A
10,PTPRN
11,GNG3
12,GFAP
13,TTYH1
14,MLC1
15,OLIG1
16,AQP4
17,BCAN
18,FAM83F
19,GRHL2
20,RAB25
21,RBBP8NL
22,CHMP4C
23,PROM2
24,PLIN1
25,PAX8
26,HGD
27,TMEM139
28,KIF12
29,CLDN4
30,KLHDC7A
31,GNG12
32,GJB1
33,PLEKHH1
34,ERBB3
35,PMEL
36,TFAP2A
37,S100A1
38,ST6GALNAC2
39,CLDN3
40,BCL2L15
41,SPDEF
42,LAD1
43,KDF1
44,ESRP1
45,OVOL1
46,GJB3
47,GPX2
48,POU5F1
49,SLC46A1
50,EPHA1
51,ZNF750
52,PASK
53,PRSS16
54,SCGB2A1
55,SCGB1D2
56,ALDH3B2
