,Features
0,GRHL2
1,AHNAK
2,FEZ1
3,ATP1B2
4,PLP1
5,RFTN2
6,GFAP
7,BAALC
8,AZGP1
9,GJC3
10,GATA3
11,FOXA2
12,SOX17
13,IRX2
14,LGALS4
15,HAND2
16,FOXL2
17,ST6GALNAC1
18,ALDH3B2
19,SPDEF
20,IKZF1
21,VTN
22,PAX8
23,PON3
24,EMX2
25,SFTPB
26,STEAP4
27,SCGB2A1
28,TJP3
29,SMIM22
30,EPCAM
31,HIST1H4C
32,TRAPPC5
33,HOXA11
34,CTU1
35,APOA1
36,RAMP3
37,MTRNR2L2
38,MTRNR2L8
39,MTRNR2L9
40,MTRNR2L10
41,MTRNR2L6
42,COX1
43,ALDOB
44,CYP3A5
45,MUC3A
46,MMP28
47,DDX3Y
48,SCGB1D2
49,RBBP8NL
50,RAB25
51,DSC3
52,PKP1
53,MSX1
54,CSTA
55,SALL1
56,PRAME
57,ZNF280B
58,MYL6B
59,FAM171A2
60,CCDC157
61,TMEM9
62,SLC46A1
63,LTB4R2
64,FAM78A
65,ZNF154
66,USP20
67,KIAA0922
68,FOXE1
69,HHEX
70,RNF128
71,KRT23
